"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000009XZkzIAG","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Account ACV has been changed to 47563.84.","005Qk000001nViEIAU","2024-10-08T12:22:10.000Z","2024-10-08T12:22:10.000Z","false","false"
"00aQk000009XZmbIAG","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Account ACV has been changed to 23781.92.","005Qk000001nViEIAU","2024-10-08T12:22:11.000Z","2024-10-08T12:22:11.000Z","false","false"
"00aQk000009YfefIAC","500Qk00000GlYoFIAV","The customer confirmed this can be closed.","005Qk000001nViEIAU","2024-10-09T04:53:38.000Z","2024-10-09T04:53:38.000Z","false","false"
"00aQk000009YfgHIAS","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViEIAU","2024-10-09T04:54:18.000Z","2024-10-09T04:54:18.000Z","false","false"
"00aQk000009YjFFIA0","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-09T06:40:45.000Z","2024-10-09T06:40:45.000Z","false","false"
"00aQk000009YjFHIA0","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the new comment has been added: Cristian-Alexandru Halmajan:

Hi Andrei, @WaitingOnEngineer,

Could you please confirm if this issue has been closed by mistake?
We received a notification saying that the ticket has been resolved.

Thank you,
Cristi

[DevOps CommentId:11031724]","0054u000006gtWUAAY","2024-10-09T06:40:46.000Z","2024-10-09T06:40:46.000Z","false","false"
"00aQk000009YkeMIAS","500Qk00000GlYoFIAV","Hello,

This was closed based on the customer's reply.
They were ok enabling the firewall for a short time while installing the client.
Do you think there will be any side effects with the firewall turned off when the Epp cleitn is running?","005Qk000001nViEIAU","2024-10-09T07:25:12.000Z","2024-10-09T07:25:12.000Z","false","false"
"00aQk000009hxqsIAA","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-10-09 06:40 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11071571]","0054u000006gtWUAAY","2024-10-17T05:02:14.000Z","2024-10-17T05:02:14.000Z","false","false"
"00aQk000009hxxJIAQ","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViEIAU","2024-10-17T05:03:48.000Z","2024-10-17T05:03:48.000Z","false","false"
"00aQk000009hxxLIAQ","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Account ACV has been changed to 47563.84.","005Qk000001nViEIAU","2024-10-17T05:03:50.000Z","2024-10-17T05:03:50.000Z","false","false"
"00aQk000009hs9eIAA","500Qk00000GlYoFIAV","On Escalation Ticket # 00423263 the Following Fields have been updated: 
Account ACV has been changed to 23781.92.","005Qk000001nViEIAU","2024-10-17T05:03:56.000Z","2024-10-17T05:03:56.000Z","false","false"
