"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000AyWk1IAF","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Priority has been changed to High.","005Qk000001nViEIAU","2024-12-30T07:32:48.000Z","2024-12-30T07:32:48.000Z","false","false"
"00aQk00000Aya2rIAB","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-30T09:48:24.000Z","2024-12-30T09:48:24.000Z","false","false"
"00aQk00000Aya2tIAB","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: Marius Ghiurcau:

@WaitingOnEngineer

This is something that should work. Any logs with the scenario? Did you check to see if the settings were received by the EPP client? There should be something like this in the logs:

12-30 09:42:47.330 25852 DEBUG Received application blocking rule: WinWord * [epp::AppChecker::loadBlacklistedAppList AppChecker.cpp:139] 

When you add the block rule make sure you put ""*"" at parameters (of course besides WinWord at ""Application & CLI Command""). We had an issue in the past, something had to be added there as well, I don't know in what server version was fixed, I see the customer is using 5940. I just tested on my machine, with a 5941 server and everything works as expected, Word is blocked. 

[DevOps CommentId:11450323]","0054u000006gtWUAAY","2024-12-30T09:48:25.000Z","2024-12-30T09:48:25.000Z","false","false"
"00aQk00000AyadxIAB","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViEIAU","2024-12-30T10:04:57.000Z","2024-12-30T10:04:57.000Z","false","false"
"00aQk00000B1DswIAF","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: The customer has sent logs, please check in the attachments.","005Qk000001nViFIAU","2025-01-02T07:57:52.000Z","2025-01-02T07:57:52.000Z","false","false"
"00aQk00000B8761IAB","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViCIAU","2025-01-08T17:24:04.000Z","2025-01-08T17:24:04.000Z","false","false"
"00aQk00000BCimvIAD","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-01-13T10:05:55.000Z","2025-01-13T10:05:55.000Z","false","false"
"00aQk00000BCimxIAD","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: Marius Ghiurcau:

@WaitingOnEngineer

I checked the logs. According to the logs, there was only one app added to the denylist, that is Anydesk. What did the customer wanted to block? I thought it was Word, at least I see Word is started at some point. Add the settings again and redo the tests. Make sure the customer is not affected by the issues we had in 5940 with allowlists and denylists that sometimes were not saved/applied properly.

[DevOps CommentId:11491956]","0054u000006gtWUAAY","2025-01-13T10:05:56.000Z","2025-01-13T10:05:56.000Z","false","false"
"00aQk00000BCyZxIAL","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViCIAU","2025-01-13T14:07:15.000Z","2025-01-13T14:07:15.000Z","false","false"
"00aQk00000BLnk9IAD","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-01-21T05:03:08.000Z","2025-01-21T05:03:08.000Z","false","false"
"00aQk00000BLnkBIAT","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2025-01-13 10:05 UTC and the last detected comment from support was 2025-01-02 07:57 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11527069]","0054u000006gtWUAAY","2025-01-21T05:03:08.000Z","2025-01-21T05:03:08.000Z","false","false"
"00aQk00000BLoGPIA1","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViEIAU","2025-01-21T05:19:58.000Z","2025-01-21T05:19:58.000Z","false","false"
"00aQk00000BV4AfIAL","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-01-29T05:02:43.000Z","2025-01-29T05:02:43.000Z","false","false"
"00aQk00000BV4AhIAL","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2025-01-13 10:05 UTC and the last detected comment from support was 2025-01-02 07:57 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11566250]","0054u000006gtWUAAY","2025-01-29T05:02:44.000Z","2025-01-29T05:02:44.000Z","false","false"
"00aQk00000BV4HAIA1","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViEIAU","2025-01-29T05:24:56.000Z","2025-01-29T05:24:56.000Z","false","false"
"00aQk00000BVAsnIAH","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViEIAU","2025-01-29T09:08:59.000Z","2025-01-29T09:08:59.000Z","false","false"
"00aQk00000BeS2TIAV","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-02-06T05:02:32.000Z","2025-02-06T05:02:32.000Z","false","false"
"00aQk00000BeS2VIAV","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2025-01-13 10:05 UTC and the last detected comment from support was 2025-01-02 07:57 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11605571]","0054u000006gtWUAAY","2025-02-06T05:02:33.000Z","2025-02-06T05:02:33.000Z","false","false"
"00aQk00000BeTxrIAF","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the new comment has been added: Application denylist works.","005Qk000001nViEIAU","2025-02-06T05:33:16.000Z","2025-02-06T05:33:16.000Z","false","false"
"00aQk00000BeTjKIAV","500Qk00000JrbbCIAR","On Escalation Ticket # 00430867 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViEIAU","2025-02-06T05:33:30.000Z","2025-02-06T05:33:30.000Z","false","false"
