"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000008OxNJIA0","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Account ACV has been changed to 220565.70.","005Qk000001nViBIAU","2024-08-07T19:53:34.000Z","2024-08-07T19:53:34.000Z","false","false"
"00aQk000008OxOvIAK","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Account ACV has been changed to 110282.85.","005Qk000001nViBIAU","2024-08-07T19:53:35.000Z","2024-08-07T19:53:35.000Z","false","false"
"00aQk000008X2T3IAK","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Account ACV has been changed to 123920.47.","005Qk000001nViBIAU","2024-08-14T20:08:27.000Z","2024-08-14T20:08:27.000Z","false","false"
"00aQk000008dPRmIAM","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Hi Team,

When time allows please provide an update on this ticket.

Thank you!
Flaviu","005Qk000001nViKIAU","2024-08-20T16:07:30.000Z","2024-08-20T16:07:30.000Z","false","false"
"00aQk000008jnPoIAI","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Hi Team,

When time allows please provide an update on this ticket.

Thank you!
Flaviu","005Qk000001nViKIAU","2024-08-26T14:51:17.000Z","2024-08-26T14:51:17.000Z","false","false"
"00aQk000008nvoZIAQ","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Robert Zavalczki:

@WaitingOnEngineer we prepared a test build with a fix for this issue. Please find the build at this location on our file-server:

_daily_builds/CoSoSys/2024-builds/2024_08_29/EPPClient_v6.2.3.0055

DPI must be enabled in order to distinguish between OneDrive for Business and OneDrive Personal.

OneDrive for Bussines detection did not work for this customer because they were using OneDrive on a domain ususally reserved for US government agencies and we did not identify this as a ""business"" account.

[DevOps CommentId:10849551]","0054u000006gtWUAAY","2024-08-29T10:21:06.000Z","2024-08-29T10:21:06.000Z","false","false"
"00aQk000008nvoXIAQ","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-08-29T10:21:06.000Z","2024-08-29T10:21:06.000Z","false","false"
"00aQk000008o5mJIAQ","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Cristian-Alexandru Halmajan:

Hi @WaitingOnEngineer,

Please use the following link to download the test build:
https://download.endpointprotector.com/custom_agent/Epp29082024/EPPClient_v6.2.3.0055.zip 

Regards,
Cristi

[DevOps CommentId:10851116]","0054u000006gtWUAAY","2024-08-29T13:10:22.000Z","2024-08-29T13:10:22.000Z","false","false"
"00aQk000008oC1NIAU","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2024-08-29T14:02:40.000Z","2024-08-29T14:02:40.000Z","false","false"
"00aQk000008wcmfIAA","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-09-06T05:01:53.000Z","2024-09-06T05:01:53.000Z","false","false"
"00aQk000008wcmhIAA","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-08-29 13:10 UTC and the last detected comment from support was 2024-08-26 14:51 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:10884744]","0054u000006gtWUAAY","2024-09-06T05:01:54.000Z","2024-09-06T05:01:54.000Z","false","false"
"00aQk000008x5BxIAI","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2024-09-06T14:15:51.000Z","2024-09-06T14:15:51.000Z","false","false"
"00aQk0000094xVlIAI","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-09-13T05:02:00.000Z","2024-09-13T05:02:00.000Z","false","false"
"00aQk0000094xVnIAI","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-08-29 13:10 UTC and the last detected comment from support was 2024-08-26 14:51 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:10920021]","0054u000006gtWUAAY","2024-09-13T05:02:01.000Z","2024-09-13T05:02:01.000Z","false","false"
"00aQk0000095WlFIAU","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2024-09-13T15:20:38.000Z","2024-09-13T15:20:38.000Z","false","false"
"00aQk0000097QYUIA2","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Marius Ghiurcau:

Completing Pull Request 39146 and the associated work items.

[DevOps CommentId:10926904]","0054u000006gtWUAAY","2024-09-16T08:35:17.000Z","2024-09-16T08:35:17.000Z","false","false"
"00aQk0000097OjbIAE","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Marius Ghiurcau:

Completing Pull Request 39146 and the associated work items.

[DevOps CommentId:10926904]","0054u000006gtWUAAY","2024-09-16T08:35:19.000Z","2024-09-16T08:35:19.000Z","false","false"
"00aQk000009TwLCIA0","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Hi Team,

Customer confirmed that the build test build worked.

They asked if they can mass deploy this build or if a GA/production client will come out with this fix included.

Thank you!
Flaviu","005Qk000001nViKIAU","2024-10-04T14:37:13.000Z","2024-10-04T14:37:13.000Z","false","false"
"00aQk000009TxxCIAS","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-04T15:03:17.000Z","2024-10-04T15:03:17.000Z","false","false"
"00aQk000009TxxEIAS","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: Cristian-Alexandru Halmajan:

Hi Flaviu, @WaitingOnEngineer,

Thank you for your confirmation.

The fix will be part of the 5.9.4.1. release which is scheduled to be released in November.

Currently, the fix has not been tested internally by our QA team so I would advise against mass deploying the test build until we have QA's confirmation.

Thank you,
Cristi

[DevOps CommentId:11017612]","0054u000006gtWUAAY","2024-10-04T15:03:17.000Z","2024-10-04T15:03:17.000Z","false","false"
"00aQk000009UAmLIAW","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2024-10-04T16:55:08.000Z","2024-10-04T16:55:08.000Z","false","false"
"00aQk000009didVIAQ","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-14T05:01:41.000Z","2024-10-14T05:01:41.000Z","false","false"
"00aQk000009didXIAQ","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-10-04 15:03 UTC and the last detected comment from support was 2024-10-04 14:37 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11051156]","0054u000006gtWUAAY","2024-10-14T05:01:42.000Z","2024-10-14T05:01:42.000Z","false","false"
"00aQk000009du8QIAQ","500Qk00000DVM1aIAH","On Escalation Ticket # 00417485 the Following Fields have been updated: 
Escalating Engineer Name has been changed to User: Flaviu Moldovan.","005Qk000001nViKIAU","2024-10-14T11:43:40.000Z","2024-10-14T11:43:40.000Z","false","false"
