"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk0000084ExRIAU","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the Following Fields have been updated: 
Account ACV has been changed to 580320.00.
Priority has been changed to High.","005Qk000001nViHIAU","2024-07-22T08:11:17.000Z","2024-07-22T08:11:17.000Z","false","false"
"00aQk0000084Ez3IAE","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the Following Fields have been updated: 
Account ACV has been changed to 290160.00.","005Qk000001nViHIAU","2024-07-22T08:11:18.000Z","2024-07-22T08:11:18.000Z","false","false"
"00aQk000008CaPhIAK","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-07-29T07:52:30.000Z","2024-07-29T07:52:30.000Z","false","false"
"00aQk000008CaPjIAK","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the new comment has been added: Robert-Zoltan Sumi:

@WaitingOnEngineer the description is incoplete. We assume the OS is MacOS, but there are no logs and no detail description.

[DevOps CommentId:10640480]","0054u000006gtWUAAY","2024-07-29T07:52:31.000Z","2024-07-29T07:52:31.000Z","false","false"
"00aQk000008ChKjIAK","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-07-29T10:06:46.000Z","2024-07-29T10:06:46.000Z","false","false"
"00aQk000008CfSeIAK","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the Following Fields have been updated: 
Product Version has been changed to NONE.
Status has been changed to Awaiting R&D.","005Qk000001nViHIAU","2024-07-29T10:17:38.000Z","2024-07-29T10:17:38.000Z","false","false"
"00aQk000008Ch4fIAC","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the new comment has been added: I added the logs and screenshots. Let me know if you can find something in the log files.
Thank you","005Qk000001nViHIAU","2024-07-29T10:19:25.000Z","2024-07-29T10:19:25.000Z","false","false"
"00aQk000008Ch6HIAS","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the new comment has been added: Robert-Zoltan Sumi:

Sorry, I can not see any attachment.

[DevOps CommentId:10643011]","0054u000006gtWUAAY","2024-07-29T11:43:21.000Z","2024-07-29T11:43:21.000Z","false","false"
"00aQk000008LNTFIA4","500Qk00000DEaAbIAL","Hello Robert,

Let me know if you could find something in the logs that were shared on teams.

Thank you,","005Qk000001nViHIAU","2024-08-05T12:49:45.000Z","2024-08-05T12:49:45.000Z","false","false"
"00aQk000008bWSXIA2","500Qk00000DEaAbIAL","Hello,

Do we have any update here?

Thank you","005Qk000001nViHIAU","2024-08-19T12:02:24.000Z","2024-08-19T12:02:24.000Z","false","false"
"00aQk000008hODlIAM","500Qk00000DEaAbIAL","On Escalation Ticket # 00415587 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-08-23T13:09:35.000Z","2024-08-23T13:09:35.000Z","false","false"
