"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000AELq1IAH","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Account ACV has been changed to 4391.04.
Priority has been changed to High.","005Qk000001nViHIAU","2024-11-14T11:38:05.000Z","2024-11-14T11:38:05.000Z","false","false"
"00aQk00000AEHJOIA5","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Account ACV has been changed to 2195.52.","005Qk000001nViHIAU","2024-11-14T11:38:06.000Z","2024-11-14T11:38:06.000Z","false","false"
"00aQk00000AEOvxIAH","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-14T12:58:04.000Z","2024-11-14T12:58:04.000Z","false","false"
"00aQk00000AEOvzIAH","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the new comment has been added: Cristian-Alexandru Halmajan:

Hi @WaitingOnEngineer,

The link we have for the logs is wrong: https://nwxcorp.sharepoint.com/sites/CustomerSupportFiles/Data/00414285 
Please confirm the correct path.

Thank you,
Cristi

[DevOps CommentId:11216576]","0054u000006gtWUAAY","2024-11-14T12:58:05.000Z","2024-11-14T12:58:05.000Z","false","false"
"00aQk00000AEPYgIAP","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the new comment has been added: Hello,

I uploaded the logs on the link that you specified.
Let me know once you have any updates.

Thank you","005Qk000001nViHIAU","2024-11-14T13:09:38.000Z","2024-11-14T13:09:38.000Z","false","false"
"00aQk00000AENTeIAP","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Product Version has been changed to NONE.
Status has been changed to Awaiting R&D.","005Qk000001nViHIAU","2024-11-14T13:09:50.000Z","2024-11-14T13:09:50.000Z","false","false"
"00aQk00000AjSTpIAN","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-13T11:45:32.000Z","2024-12-13T11:45:32.000Z","false","false"
"00aQk00000AjSTrIAN","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the new comment has been added: Robert Zavalczki:

It looks like the user hasn't enabled the Network Extension. They can do this either manually by clicking ""Allow"" on the ""allow network extension"" prompt or through a deployment or Mobile Device Management software (such as JAMF, for example)

Also, while we expect to report the Gmail email sender at all times, the email receiver will not be available for attachments and when editing a draft that doesn't have a recipient. FYI: @WaitingOnEngineer

[DevOps CommentId:11407713]","0054u000006gtWUAAY","2024-12-13T11:45:33.000Z","2024-12-13T11:45:33.000Z","false","false"
"00aQk00000Ajw25IAB","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-12-13T18:51:37.000Z","2024-12-13T18:51:37.000Z","false","false"
"00aQk00000At0ZXIAZ","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-12-13 11:45 UTC and the last detected comment from support was 2024-11-14 13:09 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11442346]","0054u000006gtWUAAY","2024-12-23T05:02:56.000Z","2024-12-23T05:02:56.000Z","false","false"
"00aQk00000At0ZVIAZ","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-23T05:02:56.000Z","2024-12-23T05:02:56.000Z","false","false"
"00aQk00000AtHfBIAV","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-12-23T13:04:05.000Z","2024-12-23T13:04:05.000Z","false","false"
"00aQk00000Azdt7IAB","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-31T05:02:10.000Z","2024-12-31T05:02:10.000Z","false","false"
"00aQk00000Azdt9IAB","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-12-13 11:45 UTC and the last detected comment from support was 2024-11-14 13:09 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11451593]","0054u000006gtWUAAY","2024-12-31T05:02:11.000Z","2024-12-31T05:02:11.000Z","false","false"
"00aQk00000B4xcgIAB","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2025-01-06T11:27:40.000Z","2025-01-06T11:27:40.000Z","false","false"
"00aQk00000B682zIAB","500Qk00000CmCuPIAV","On Escalation Ticket # 00427058 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-01-07T05:02:34.000Z","2025-01-07T05:02:34.000Z","false","false"
