"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000009XWAPIA4","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Priority has been changed to High.","005Qk000001nViHIAU","2024-10-08T10:46:21.000Z","2024-10-08T10:46:21.000Z","false","false"
"00aQk00000ARDBVIA5","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-26T12:20:32.000Z","2024-11-26T12:20:32.000Z","false","false"
"00aQk00000ARDBXIA5","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the new comment has been added: Robert-Zoltan Sumi:

@WaitingOnEngineer we have created a test build which should resolve he above issue: https://download.endpointprotector.com/custom_agent/Epp26112024/EPPClient_v6.2.4.0033.zip

[DevOps CommentId:11276576]","0054u000006gtWUAAY","2024-11-26T12:20:33.000Z","2024-11-26T12:20:33.000Z","false","false"
"00aQk00000AREcDIAX","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-11-26T13:22:09.000Z","2024-11-26T13:22:09.000Z","false","false"
"00aQk00000AYfFtIAL","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-04T05:02:37.000Z","2024-12-04T05:02:37.000Z","false","false"
"00aQk00000AYfFvIAL","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-11-26 12:20 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11331291]","0054u000006gtWUAAY","2024-12-04T05:02:38.000Z","2024-12-04T05:02:38.000Z","false","false"
"00aQk00000AYoMPIA1","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-12-04T10:34:28.000Z","2024-12-04T10:34:28.000Z","false","false"
"00aQk00000Aan7hIAB","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViHIAU","2024-12-05T18:52:49.000Z","2024-12-05T18:52:49.000Z","false","false"
"00aQk00000Ae0DFIAZ","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-09T13:21:14.000Z","2024-12-09T13:21:14.000Z","false","false"
"00aQk00000Ae0DHIAZ","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the new comment has been added: Cristian-Alexandru Halmajan:

Hi @WaitingOnEngineer

Please also confirm customer name, ACV, size.

Thank you,
Cristi

[DevOps CommentId:11383463]","0054u000006gtWUAAY","2024-12-09T13:21:14.000Z","2024-12-09T13:21:14.000Z","false","false"
"00aQk00000Ae8kHIAR","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViHIAU","2024-12-09T14:56:02.000Z","2024-12-09T14:56:02.000Z","false","false"
"00aQk00000AmnBxIAJ","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-17T05:02:10.000Z","2024-12-17T05:02:10.000Z","false","false"
"00aQk00000AmnBzIAJ","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-12-09 13:21 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11417320]","0054u000006gtWUAAY","2024-12-17T05:02:10.000Z","2024-12-17T05:02:10.000Z","false","false"
"00aQk00000An7DtIAJ","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViHIAU","2024-12-17T13:07:07.000Z","2024-12-17T13:07:07.000Z","false","false"
"00aQk00000Aup8XIAR","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-25T05:01:53.000Z","2024-12-25T05:01:53.000Z","false","false"
"00aQk00000Aup8ZIAR","500Qk00000FJGrgIAH","On Escalation Ticket # 00423251 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-12-09 13:21 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11447017]","0054u000006gtWUAAY","2024-12-25T05:01:54.000Z","2024-12-25T05:01:54.000Z","false","false"
