"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000007z3mYIAQ","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Michael Paye:

[Force comment sync]

[DevOps CommentId:10587453]","0054u000006gtWUAAY","2024-07-17T14:54:25.000Z","2024-07-17T14:54:25.000Z","false","false"
"00aQk000008O413IAC","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Account ACV has been changed to 123917.00.","0054u000006gtWUAAY","2024-08-07T08:59:44.000Z","2024-08-07T08:59:44.000Z","false","false"
"00aQk000008O415IAC","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Marius Ghiurcau:

@Cristian-Alexandru Halmajan this should be reviewed by someone from the server team. 

[DevOps CommentId:10694909]","0054u000006gtWUAAY","2024-08-07T08:59:44.000Z","2024-08-07T08:59:44.000Z","false","false"
"00aQk000008POfGIAW","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Augustina Sidor:

The issue can be reproduced on the server.

@Cristian-Alexandru Halmajan,  please create a separate ticket to address this issue.

Thanks.

[DevOps CommentId:10699848]","0054u000006gtWUAAY","2024-08-08T07:12:05.000Z","2024-08-08T07:12:05.000Z","false","false"
"00aQk000008QntJIAS","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-08-09T05:55:58.000Z","2024-08-09T05:55:58.000Z","false","false"
"00aQk000008QntLIAS","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Cristian-Alexandru Halmajan:

Hi @WaitingOnEngineer,
This issue has been reproduced. 
A new task has been raised for dev team.
This has not yet been registered, but I will try to confirm as soon as I can on which release this will be fixed.
Thank you,
Cristi

[DevOps CommentId:10706354]","0054u000006gtWUAAY","2024-08-09T05:55:59.000Z","2024-08-09T05:55:59.000Z","false","false"
"00aQk000008QnyAIAS","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Thank you for the update Cristi","005Qk000001nViCIAU","2024-08-09T06:01:38.000Z","2024-08-09T06:01:38.000Z","false","false"
"00aQk000009DJUHIA4","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Account ACV has been changed to 159917.00.","0054u000006gtWUAAY","2024-09-20T10:23:57.000Z","2024-09-20T10:23:57.000Z","false","false"
"00aQk000009DJUJIA4","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Cristian-Alexandru Halmajan:

Hi @WaitingOnEngineer,

This fix will be available in 5.9.4.1

Regards,
Cristi

[DevOps CommentId:10953766]","0054u000006gtWUAAY","2024-09-20T10:23:58.000Z","2024-09-20T10:23:58.000Z","false","false"
"00aQk000009DUO5IAO","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViCIAU","2024-09-20T12:54:17.000Z","2024-09-20T12:54:17.000Z","false","false"
"00aQk000009DUWAIA4","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: Thank you for the update @Cristian-Alexandru Halmajan","005Qk000001nViCIAU","2024-09-20T12:55:02.000Z","2024-09-20T12:55:02.000Z","false","false"
"00aQk000009DUcbIAG","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViCIAU","2024-09-20T12:55:54.000Z","2024-09-20T12:55:54.000Z","false","false"
"00aQk000009NoGgIAK","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-09-30T05:01:38.000Z","2024-09-30T05:01:38.000Z","false","false"
"00aQk000009NoGiIAK","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-09-20 13:18 UTC and the last detected comment from support was 2024-09-20 12:55 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:10989218]","0054u000006gtWUAAY","2024-09-30T05:01:39.000Z","2024-09-30T05:01:39.000Z","false","false"
"00aQk000009O6OrIAK","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViCIAU","2024-09-30T11:16:47.000Z","2024-09-30T11:16:47.000Z","false","false"
"00aQk000009XFZQIA4","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-09-20 13:18 UTC and the last detected comment from support was 2024-09-20 12:55 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11024703]","0054u000006gtWUAAY","2024-10-08T05:01:32.000Z","2024-10-08T05:01:32.000Z","false","false"
"00aQk000009XFZOIA4","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Account ACV has been changed to 195917.00.
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-08T05:01:32.000Z","2024-10-08T05:01:32.000Z","false","false"
"00aQk000009XGteIAG","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViCIAU","2024-10-08T05:57:43.000Z","2024-10-08T05:57:43.000Z","false","false"
"00aQk000009f4X9IAI","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-09-20 13:18 UTC and the last detected comment from support was 2024-09-20 12:55 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11057550]","0054u000006gtWUAAY","2024-10-15T05:02:09.000Z","2024-10-15T05:02:09.000Z","false","false"
"00aQk000009f4X7IAI","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-15T05:02:09.000Z","2024-10-15T05:02:09.000Z","false","false"
"00aQk000009f9rlIAA","500Qk00000CvJ8fIAF","On Escalation Ticket # 00414717 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViCIAU","2024-10-15T07:36:06.000Z","2024-10-15T07:36:06.000Z","false","false"
