"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000009REhdIAG","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the Following Fields have been updated: 
Account ACV has been changed to 425403.2252790346902.
Priority has been changed to High.","005Qk000002Fjy9IAC","2024-10-02T15:30:44.000Z","2024-10-02T15:30:44.000Z","false","false"
"00aQk000009REjGIAW","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the Following Fields have been updated: 
Account ACV has been changed to 212701.6126395173451.","005Qk000002Fjy9IAC","2024-10-02T15:30:45.000Z","2024-10-02T15:30:45.000Z","false","false"
"00aQk000009bQkkIAE","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-11T06:41:43.000Z","2024-10-11T06:41:43.000Z","false","false"
"00aQk000009bQkmIAE","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the new comment has been added: Oana-Cristina Rus:

We tested this scenario on our environment. We changed the password for an AD user and added it at the end !@#.

On our side, the user can log in to the EPP.

I think that there might be some problems on the customer side.
Can you please check if the customer use the right password for the AD user?
Did you try to change the password for this AD user from the AD and try to log in?

Is there some chance that the customer will try to use the AD password and not the AD user password?

@WaitingOnEngineer 

[DevOps CommentId:11045716]","0054u000006gtWUAAY","2024-10-11T06:41:44.000Z","2024-10-11T06:41:44.000Z","false","false"
"00aQk000009bkecIAA","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the new comment has been added: Hello Oana, 

The customer is using the correct password as they copied the password from their password manager into EPP. 
I will have them test changing their AD password and testing that.
This is not the only account that is affected. All of the user accounts that were synced cannot login.","005Qk000002Fjy9IAC","2024-10-11T13:10:23.000Z","2024-10-11T13:10:23.000Z","false","false"
"00aQk000009bkjRIAQ","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000002Fjy9IAC","2024-10-11T13:11:38.000Z","2024-10-11T13:11:38.000Z","false","false"
"00aQk000009c054IAA","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the new comment has been added: Customer changed their password to the one below and it did not resolve the issue.

Username: taccount
Password: Bayport1!Bayport1!","005Qk000002Fjy9IAC","2024-10-11T15:54:55.000Z","2024-10-11T15:54:55.000Z","false","false"
"00aQk000009c08HIAQ","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000002Fjy9IAC","2024-10-11T15:55:18.000Z","2024-10-11T15:55:18.000Z","false","false"
"00aQk000009c28UIAQ","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the new comment has been added: Customer raised the following concern and would like it answered.  Could this be related to the on-prem setup specifically?","005Qk000002Fjy9IAC","2024-10-11T16:14:15.000Z","2024-10-11T16:14:15.000Z","false","false"
"00aQk000009fST0IAM","500Qk00000GLRqTIAX","On Escalation Ticket # 00422720 the new comment has been added: Customer is available for a meeting anytime 8am - 5pm EDT Wed-Fri this week.","005Qk000002Fjy9IAC","2024-10-15T13:09:04.000Z","2024-10-15T13:09:04.000Z","false","false"
