"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000A6LVRIA3","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Account ACV has been changed to 957641.82.","005Qk000001nVi2IAE","2024-11-07T22:00:05.000Z","2024-11-07T22:00:05.000Z","false","false"
"00aQk00000A6LYfIAN","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Account ACV has been changed to 478820.91.","005Qk000001nVi2IAE","2024-11-07T22:00:09.000Z","2024-11-07T22:00:09.000Z","false","false"
"00aQk00000ABFyrIAH","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-12T10:18:17.000Z","2024-11-12T10:18:17.000Z","false","false"
"00aQk00000ABFytIAH","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: Lucian-Gabriel Petraru:

Hi @WaitingOnEngineer , problem has been reproduced locali . Soon as product review issue we will fix and provied a target realse date for this. Thanks!

[DevOps CommentId:11201726]","0054u000006gtWUAAY","2024-11-12T10:18:18.000Z","2024-11-12T10:18:18.000Z","false","false"
"00aQk00000ABG0UIAX","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: Lucian-Gabriel Petraru:

Hi @WaitingOnEngineer , problem has been reproduced locali . Soon as product review issue we will fix and provied a target realse date for this. Thanks!

[DevOps CommentId:11201726]","0054u000006gtWUAAY","2024-11-12T10:18:20.000Z","2024-11-12T10:18:20.000Z","false","false"
"00aQk00000AC6tVIAT","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Product Version has been changed to NONE.
Status has been changed to Awaiting R&D.","005Qk000001nViKIAU","2024-11-12T20:36:00.000Z","2024-11-12T20:36:00.000Z","false","false"
"00aQk00000AC6wjIAD","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-12T20:36:11.000Z","2024-11-12T20:36:11.000Z","false","false"
"00aQk00000AC7CsIAL","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2024-11-12T20:38:42.000Z","2024-11-12T20:38:42.000Z","false","false"
"00aQk00000AC6GoIAL","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViKIAU","2024-11-12T20:38:58.000Z","2024-11-12T20:38:58.000Z","false","false"
"00aQk00000AKSFJIA5","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-20T05:02:47.000Z","2024-11-20T05:02:47.000Z","false","false"
"00aQk00000AKSFLIA5","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-11-12 10:18 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11238307]","0054u000006gtWUAAY","2024-11-20T05:02:48.000Z","2024-11-20T05:02:48.000Z","false","false"
"00aQk00000ASAYBIA5","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-11-12 10:18 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11280630]","0054u000006gtWUAAY","2024-11-27T05:02:43.000Z","2024-11-27T05:02:43.000Z","false","false"
"00aQk00000ASbdBIAT","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nVi2IAE","2024-11-27T14:54:34.000Z","2024-11-27T14:54:34.000Z","false","false"
"00aQk00000AUhWQIA1","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: Hello,
Are there any updates for this case?
Thanks,
Boti","005Qk000001nVi2IAE","2024-11-29T22:22:26.000Z","2024-11-29T22:22:26.000Z","false","false"
"00aQk00000Adk6sIAB","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-09T07:22:14.000Z","2024-12-09T07:22:14.000Z","false","false"
"00aQk00000Adk6uIAB","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: Cristian-Alexandru Halmajan:

Hi Botond,

I hope you are well.

This item will be fixed in 5.9.4.1.

I hope this helps.

Regards,
Cristi

@WaitingOnEngineer

[DevOps CommentId:11380099]","0054u000006gtWUAAY","2024-12-09T07:22:15.000Z","2024-12-09T07:22:15.000Z","false","false"
"00aQk00000AeAEDIA3","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nVi2IAE","2024-12-09T15:12:10.000Z","2024-12-09T15:12:10.000Z","false","false"
"00aQk00000AmnK3IAJ","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-12-09 07:22 UTC and the last detected comment from support was 2024-11-29 22:22 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11417328]","0054u000006gtWUAAY","2024-12-17T05:02:28.000Z","2024-12-17T05:02:28.000Z","false","false"
"00aQk00000AmnK1IAJ","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-17T05:02:28.000Z","2024-12-17T05:02:28.000Z","false","false"
"00aQk00000AnHMvIAN","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nVi2IAE","2024-12-17T15:12:05.000Z","2024-12-17T15:12:05.000Z","false","false"
"00aQk00000ArJ5CIAV","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the new comment has been added: Hello,
Escalation ticket can be closed.
Thanks,
Boti","005Qk000001nVi2IAE","2024-12-20T16:15:44.000Z","2024-12-20T16:15:44.000Z","false","false"
"00aQk00000ArJA1IAN","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nVi2IAE","2024-12-20T16:16:16.000Z","2024-12-20T16:16:16.000Z","false","false"
"00aQk00000ArJA3IAN","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Account ACV has been changed to 957641.82.","005Qk000001nVi2IAE","2024-12-20T16:16:19.000Z","2024-12-20T16:16:19.000Z","false","false"
"00aQk00000ArDSoIAN","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Account ACV has been changed to 478820.91.","005Qk000001nVi2IAE","2024-12-20T16:16:26.000Z","2024-12-20T16:16:26.000Z","false","false"
"00aQk00000BoJVnIAN","500Qk00000HxlveIAB","On Escalation Ticket # 00426449 the Following Fields have been updated: 
Account ACV has been changed to 704143.599999999992.","0054u000006gtWUAAY","2025-02-14T11:44:56.000Z","2025-02-14T11:44:56.000Z","false","false"
