"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000008EfI1IAK","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the Following Fields have been updated: 
Account ACV has been changed to 1179911.66.
Priority has been changed to High.","005Qk000001nViHIAU","2024-07-30T16:40:26.000Z","2024-07-30T16:40:26.000Z","false","false"
"00aQk000008EYQFIA4","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the Following Fields have been updated: 
Account ACV has been changed to 589955.83.","005Qk000001nViHIAU","2024-07-30T16:40:29.000Z","2024-07-30T16:40:29.000Z","false","false"
"00aQk000008LedmIAC","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the new comment has been added: Hello!
The customer asked for an update.
Can we give something to the customer on this issue?
Thank you","005Qk000001nViHIAU","2024-08-05T15:38:48.000Z","2024-08-05T15:38:48.000Z","false","false"
"00aQk000008s5e1IAA","500Qk00000DBLzJIAX","Hello,
Can I get an update for this ticket?
Thank you","005Qk000001nViHIAU","2024-09-02T18:05:44.000Z","2024-09-02T18:05:44.000Z","false","false"
"00aQk000009faOvIAI","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the Following Fields have been updated: 
Account ACV has been changed to 593084.23.
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-15T14:33:15.000Z","2024-10-15T14:33:15.000Z","false","false"
"00aQk000009faOxIAI","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the new comment has been added: Alex Puskas:

@WaitingOnEngineer

Can you please collect epp client logs also when the mentioned device is inserted into computer? Please also collect registry logs.

I suspect it is something related to serial number:
""serialNumber"":""     WD-WXH1EC4F7ZWZ"" (serial number contains a lot of spaces...)

[DevOps CommentId:11063755]","0054u000006gtWUAAY","2024-10-15T14:33:17.000Z","2024-10-15T14:33:17.000Z","false","false"
"00aQk000009m1RFIAY","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-10-21T10:27:56.000Z","2024-10-21T10:27:56.000Z","false","false"
"00aQk000009oUiUIAU","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-23T05:01:41.000Z","2024-10-23T05:01:41.000Z","false","false"
"00aQk000009oUiWIAU","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-10-15 14:33 UTC and the last detected comment from support was 2024-08-05 15:38 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11097594]","0054u000006gtWUAAY","2024-10-23T05:01:42.000Z","2024-10-23T05:01:42.000Z","false","false"
"00aQk000009onJhIAI","500Qk00000DBLzJIAX","On Escalation Ticket # 00416552 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-10-23T11:48:10.000Z","2024-10-23T11:48:10.000Z","false","false"
