"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000AtHQiIAN","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the Following Fields have been updated: 
Account ACV has been changed to 97003.16.
Priority has been changed to High.","005Qk000001nViCIAU","2024-12-23T13:40:22.000Z","2024-12-23T13:40:22.000Z","false","false"
"00aQk00000AtJAjIAN","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the Following Fields have been updated: 
Account ACV has been changed to 48501.58.","005Qk000001nViCIAU","2024-12-23T13:40:24.000Z","2024-12-23T13:40:24.000Z","false","false"
"00aQk00000AylJFIAZ","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the Following Fields have been updated: 
Account ACV has been changed to 39072.34.","005Qk000001nViCIAU","2024-12-30T13:53:24.000Z","2024-12-30T13:53:24.000Z","false","false"
"00aQk00000AzkjKIAR","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the new comment has been added: Hi Team,

Kindly provide us with an update, the customer made a follow up today and is requesting a status update.","005Qk000001nViCIAU","2024-12-31T10:25:10.000Z","2024-12-31T10:25:10.000Z","false","false"
"00aQk00000B6Xz3IAF","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-01-07T14:58:44.000Z","2025-01-07T14:58:44.000Z","false","false"
"00aQk00000B6Xz5IAF","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the new comment has been added: Robert Zavalczki:

@WaitingOnEngineer 
can you please post the video? The logs appear to have captured the 
state before the VPN was used, or I don't see anything out of the 
ordinary in them.

[DevOps CommentId:11469796]","0054u000006gtWUAAY","2025-01-07T14:58:45.000Z","2025-01-07T14:58:45.000Z","false","false"
"00aQk00000B74oZIAR","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the new comment has been added: Hello @Robert Zavalczki:

Than you for your feedback and a Happy New Year to you! :))

My apologies for not previously uploading the video recording, I have uploaded it now.  Please see video recording ""GMT20241220-094256_Recording_1600x900.mp4"" accessible from the attachments folder.","005Qk000001nViCIAU","2025-01-07T20:34:25.000Z","2025-01-07T20:34:25.000Z","false","false"
"00aQk00000B71h1IAB","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nViCIAU","2025-01-07T20:34:40.000Z","2025-01-07T20:34:40.000Z","false","false"
"00aQk00000BHFsLIAX","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-01-16T15:19:39.000Z","2025-01-16T15:19:39.000Z","false","false"
"00aQk00000BHFsNIAX","500Qk00000JdlyeIAB","On Escalation Ticket # 00430581 the new comment has been added: Robert Zavalczki:

I was able to reproduce this issue by installing the Browsec browser extension. The fix (that worked for me) was to add the port 1022 under the ""Deep Packet Inspection Ports & Settings"" / ""Custom Ports"" like in the screenshot found here: Screenshot 2025-01-16 at 17.15.44.png

The ""traffic type"" dropdown was set to ""HTTPS"".

FYI: @WaitingOnEngineer

[DevOps CommentId:11513554]","0054u000006gtWUAAY","2025-01-16T15:19:40.000Z","2025-01-16T15:19:40.000Z","false","false"
