"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000008DYgnIAG","500Qk00000DV9pAIAT","changed ports","005Qk000001nVi2IAE","2024-07-29T19:49:19.000Z","2024-07-29T19:49:19.000Z","false","false"
"00aQk00000963sTIAQ","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Account ACV has been changed to 369222.16.
Priority has been changed to High.","005Qk000001nVi2IAE","2024-09-13T21:46:04.000Z","2024-09-13T21:46:04.000Z","false","false"
"00aQk00000963u5IAA","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Account ACV has been changed to 184611.08.","005Qk000001nVi2IAE","2024-09-13T21:46:08.000Z","2024-09-13T21:46:08.000Z","false","false"
"00aQk000009ECYpIAO","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Hello,
Are there any updates for this case?
Thanks,
Boti","005Qk000001nVi2IAE","2024-09-20T20:37:35.000Z","2024-09-20T20:37:35.000Z","false","false"
"00aQk000009Sa0BIAS","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Hello,
The customer is chasing us for an update.
Is there anything we can provide to them?
Thanks,
Boti","005Qk000001nVi2IAE","2024-10-03T15:13:12.000Z","2024-10-03T15:13:12.000Z","false","false"
"00aQk000009SUveIAG","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Account ACV has been changed to 182232.480000000004.","0054u000006gtWUAAY","2024-10-03T15:13:24.000Z","2024-10-03T15:13:24.000Z","false","false"
"00aQk000009VwgrIAC","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-07T07:55:38.000Z","2024-10-07T07:55:38.000Z","false","false"
"00aQk000009VwgtIAC","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Alexandra-Alina Pascalau:

The custom rights cannot be imported on a new appliance.
They could create an Effective Rights report and recreate the rights on the new appliance.
@WaitingOnEngineer 

[DevOps CommentId:11019374]","0054u000006gtWUAAY","2024-10-07T07:55:39.000Z","2024-10-07T07:55:39.000Z","false","false"
"00aQk000009WW62IAG","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Hi Alina,
They have a really old server version, 5.2.0.5, and they can't upgrade it, so we can't migrate the rights.
They need the list with the devices from the old server, and since they have several, most with custom rights, they will have to re-create them, hence the need for the list. The list cannot be exported from the UI, as the server version is old, and the export option doesn't exist.
We have spoken to Augustina and she asked us to open this case, because it might be possible to export the list, but it wouldn't be straightforward.
Thanks,
Boti","005Qk000001nVi2IAE","2024-10-07T16:14:30.000Z","2024-10-07T16:14:30.000Z","false","false"
"00aQk000009WW7dIAG","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","005Qk000001nVi2IAE","2024-10-07T16:14:36.000Z","2024-10-07T16:14:36.000Z","false","false"
"00aQk000009Zjl4IAC","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Hi Alina,
Just following up on this.
Thanks,
Boti","005Qk000001nVi2IAE","2024-10-09T20:28:23.000Z","2024-10-09T20:28:23.000Z","false","false"
"00aQk000009cIBfIAM","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Hello,
Are there any updates for this case?
Thanks,
Boti","005Qk000001nVi2IAE","2024-10-11T20:18:56.000Z","2024-10-11T20:18:56.000Z","false","false"
"00aQk000009cIZsIAM","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Account ACV has been changed to 184611.08.","0054u000006gtWUAAY","2024-10-11T20:19:07.000Z","2024-10-11T20:19:07.000Z","false","false"
"00aQk000009dvywIAA","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-14T11:10:38.000Z","2024-10-14T11:10:38.000Z","false","false"
"00aQk000009dvyyIAA","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: Krzysztof Staszalek:

@WaitingOnEngineer 
Hi Support team.

There is no option to backport any query to release version 5.2.0.5 (from 14-Feb-2019). Is to old server, and to much risk, which DEV team will not take responsibility.  Please ask customer to follow procedure of EPP server upgrade by migration method. So source server need to be upgraded to version of new server, and use backup v2 procedure to transfer configuration.

fyi @Stacy Petruzzi @Peter Rooney @Cristian-Alexandru Halmajan @Cecilia-Maria Iepure 

[DevOps CommentId:11054170]","0054u000006gtWUAAY","2024-10-14T11:10:39.000Z","2024-10-14T11:10:39.000Z","false","false"
"00aQk000009gAAfIAM","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nVi2IAE","2024-10-15T20:19:21.000Z","2024-10-15T20:19:21.000Z","false","false"
"00aQk000009gACHIA2","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-15T20:19:32.000Z","2024-10-15T20:19:32.000Z","false","false"
"00aQk000009n85iIAA","500Qk00000DV9pAIAT","On Escalation Ticket # 00421059 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-10-14 11:10 UTC and the last detected comment from support was 2024-10-11 20:18 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11091323]","0054u000006gtWUAAY","2024-10-22T05:02:05.000Z","2024-10-22T05:02:05.000Z","false","false"
