"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000008JGajIAG","500Qk00000Czqu2IAB","Sensitive Data OCRGROUP_Sensitive Data OCRJOB_1-SEEK System Scans1OUTPUT1-SEEK System Scans1_Log_20240731_1451001-SEEK System Scans1_Log_20240731_145100.tsv
ERROR	FILESYSTEMACCESS	TDLP.ScanFile	""File processing timeout of 0 seconds: File processing timeout""	
ERROR	FILESYSTEMACCESS	TDLP.ScanFile	""Java Process is out of memory, skipping file""","00570000003KXurAAG","2024-08-02T17:19:32.000Z","2024-08-02T17:19:32.000Z","false","false"
"00aQk000008VWILIA4","500Qk00000Czqu2IAB","SDD_SV-FILE_2024_07_29_145045877_c295487b-bf58-47d1-9b80-e2e2086e7996_0.log

29/07/2024 10:57:54	ERROR		TFileSystemScan.DLPScanFile	""Error initiating DLP scan of file \SV-FILEDepartmentCreditFinancials7. In process of being logged in10613 - SAL??S - 2014 Return.pdf.pdf  123 Failed to create temporary file: \?F:Program Files (x86)STEALTHbitsStealthAUDITFSAASV-FILESDDTemp{991E52F4-484C-47BF-AB49-675CE15BB079}10613 - SAL??S - 2014 Return.pdf.pdf : The filename, directory name, or volume label syntax is incorrect""	SV-FILE	DCExecute	19148	2084	28136
29/07/2024 10:57:54	INFO		TEventModel.RunEvent	""Error processing event from TDLPEnumerator.TFileItem: Failed to create temporary file: \?F:Program Files (x86)STEALTHbitsStealthAUDITFSAASV-FILESDDTemp{991E52F4-484C-47BF-AB49-675CE15BB079}10613 - SAL??S - 2014 Return.pdf.pdf : The filename, directory name, or volume label syntax is incorrect""	SV-FILE	DCExecute	19148	2084	28136

29/07/2024 19:07:56	DEBUG		TFileSystemScan.EnumerateItemFromFolderEnumerator	""Waiting for main queue to fall below 1500 events, events pending: 1851""	SV-FILE	DCExecute	39752	2084	28136
29/07/2024 19:07:59	ERROR		TDLP.ScanFile	""File processing timeout of 0 seconds: File processing timeout""	SV-FILE	DCExecute	26980	2084	28136
29/07/2024 19:07:59	WARNING		TDLP.ScanFile	""Slow file detected: \SV-FILESharedCOMMITTEESBoard Reports20232023 - 01 JanMonthly ReportsFinancials.pdf, 3619 seconds""	SV-FILE	DCExecute	26980	2084	28136

30/07/2024 07:31:15	DEBUG		TFileSystemScan.EnumerateItemFromFolderEnumerator	""Waiting for main queue to fall below 1500 events, events pending: 1789""	SV-FILE	DCExecute	13236	2084	28136
30/07/2024 07:31:16	ERROR		TDLP.ScanFile	""Java Process is out of memory, skipping file""	SV-FILE	DCExecute	40672	2084	28136
30/07/2024 07:31:16	INFO		TProcessLogging.WriteMemoryStatus	""Memory:  Available (Physical=2097151KB Page File=4194303KB Virtual=1381420KB) ""	SV-FILE	DCExecute	47180	2084	28136
30/07/2024 07:31:16	DEBUG		TProcessLogging.WriteMemoryStatus	""TotalAddrSpace: 3932160; TotalUncommitted: 0; TotalCommitted: 3932160; TotalAllocated: 2169296; TotalFree: 1629780""	SV-FILE	DCExecute	47180	2084	28136
30/07/2024 07:31:16	DEBUG		TProcessLogging.WriteMemoryStatus	""FreeSmall: 1119156; FreeBig: 147184; Unused: 363440; Overhead: 133084; HeapErrorCode: 0""	SV-FILE	DCExecute	47180	2084	28136
30/07/2024 07:31:16	INFO		TProcessLogging.WriteSummary	""Processed Shares:31 Drives:7 Folders:1088 Files:16265 Permissions:0 Trustees:0 Policies:0 Gates:31 Exceptions:0""	SV-FILE	DCExecute	47180	2084	28136","00570000003KXurAAG","2024-08-13T18:30:29.000Z","2024-08-13T18:30:29.000Z","false","false"
